Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/23/2025,12/24/2025,DD *DOORDASH LAJAWABIN,Food & Drink,Sale,-58.49,
12/21/2025,12/23/2025,TRADER JOE S #767,Groceries,Sale,-56.32,
12/21/2025,12/22/2025,BP#2761203GIANT #109,Gas,Sale,-39.64,
12/21/2025,12/22/2025,HOMEGOODS #1030,Shopping,Sale,-58.26,
12/20/2025,12/21/2025,PUBLIX #1456,Groceries,Sale,-38.43,
12/20/2025,12/21/2025,ETOLLAVIS U456794402,Travel,Sale,-35.43,
12/20/2025,12/21/2025,PUBLIX #1456,Groceries,Sale,-26.41,
12/20/2025,12/21/2025,PETSMART # 1169,Shopping,Sale,-16.55,
12/17/2025,12/18/2025,DD *DOORDASH LAJAWABIN,Food & Drink,Sale,-28.55,
12/14/2025,12/16/2025,KEYSTONE CITGO GAS   MORE,Gas,Sale,-2.77,
12/14/2025,12/16/2025,ROSS STORES # 1774,Shopping,Sale,-41.69,
12/14/2025,12/16/2025,TRADER JOE S #767,Groceries,Sale,-151.41,
12/13/2025,12/15/2025,THE HOME DEPOT #0257,Home,Sale,-32.54,
12/12/2025,12/14/2025,MMS-CHSBFRNTMC,Food & Drink,Sale,-14.42,
12/14/2025,12/14/2025,TST* OAK &amp; STONE - DOWNTO,Food & Drink,Sale,-23.35,
12/10/2025,12/12/2025,THE HOME DEPOT #0257,Home,Sale,-26.73,
12/11/2025,12/12/2025,MMS-CHSBFRNTMC,Food & Drink,Sale,-8.19,
12/11/2025,12/12/2025,LAJAWAB INDIAN CUISINE,Food & Drink,Sale,-64.17,
12/10/2025,12/11/2025,MAMMA MIA ST. PETE LLC,Food & Drink,Sale,-9.56,
12/10/2025,12/10/2025,UBER   *TRIP,Travel,Sale,-39.90,
12/09/2025,12/10/2025,AVIS RENT-A-CAR,Travel,Sale,-232.90,
12/09/2025,12/10/2025,MMS-CHSBFRNTMC,Food & Drink,Sale,-2.14,
12/09/2025,12/10/2025,BP#2761203GIANT #109,Gas,Sale,-40.58,
12/08/2025,12/09/2025,MMS-CHSBFRNTMC,Food & Drink,Sale,-2.14,
12/08/2025,12/09/2025,CONSIGNMENT HOUSE,Shopping,Sale,-21.40,
12/08/2025,12/09/2025,MMS-CHSBFRNTMC,Food & Drink,Sale,-2.14,
12/07/2025,12/09/2025,TRADER JOE S #767,Groceries,Sale,-208.87,
12/06/2025,12/08/2025,CHICK-FIL-A #01722,Food & Drink,Sale,-21.98,
12/07/2025,12/08/2025,AHI SUSHI,Food & Drink,Sale,-62.43,
12/07/2025,12/08/2025,WHOLEFDS SPT #10793,Groceries,Sale,-41.11,
12/07/2025,12/08/2025,SQ *ST. PETE BAGEL CO.,Food & Drink,Sale,-24.40,
